OBJECTID,votdst,NAME,SUM_VOTERS,Shape_Length,Shape_Area
2336,1282,SEA 46-1282,752,7635.80755007933,2326092.0371487
2337,1283,SEA 46-1283,412,4830.32680346619,1262940.7253342
2338,1284,SEA 46-1284,297,5252.14841780842,1185067.06383099
2339,1285,SEA 46-1285,353,5161.33821905485,1353575.53370332
2340,1310,SEA 46-1310,467,5289.07667136355,1748585.53056686
2341,1311,SEA 46-1311,495,4500.9460915013,1052741.07492069
2342,1312,SEA 46-1312,338,5546.20569312116,1727742.36882173
2343,1313,SEA 46-1313,294,5437.72082972932,1234853.90167618
2344,1314,SEA 46-1314,354,5744.29922494687,1614939.34287526
2345,1400,SEA 46-1400,487,6637.59786059931,2029972.53031459
2346,1401,SEA 46-1401,818,6091.34670309858,1578239.79251254
2347,1404,SEA 46-1404,499,6846.05098490125,2151338.36726787
2348,1952,SEA 46-1952,295,5722.33297187954,1334853.97907747
2349,1953,SEA 46-1953,245,6462.19002976702,1120436.6626998
2350,1954,SEA 46-1954,296,8778.63365419,1856724.90526494
2351,1955,SEA 46-1955,699,9855.78544420376,3103492.04722247
2352,1957,SEA 46-1957,548,12960.9867289959,6962804.06205598
2353,1959,SEA 46-1959,739,9062.52078090448,4405492.06151566
2354,1961,SEA 46-1961,273,5145.72977919379,1268148.28904244
2355,1962,SEA 46-1962,328,5783.85995622603,1718322.5224605
2356,1963,SEA 46-1963,308,4574.56133953192,1122380.24900591
2357,1964,SEA 46-1964,580,7515.70575261899,2325368.1632208
2358,1965,SEA 46-1965,301,4294.02399419154,907748.958384297
2359,1966,SEA 46-1966,338,7205.23407627505,3056303.87320532
2360,1967,SEA 46-1967,470,5923.41209965738,1755972.57339967
2361,1968,SEA 46-1968,349,6614.51434664686,2277002.556233
2362,1969,SEA 46-1969,324,7794.82022120739,2913016.87847759
2363,1970,SEA 46-1970,289,9510.50225531787,3474626.65612931
2364,1971,SEA 46-1971,369,8827.65370416377,2334411.8530943
2365,1974,SEA 46-1974,448,6404.27096308931,2260087.19397325
2366,1977,SEA 46-1977,325,8832.97035010962,3630247.17695615
2367,1978,SEA 46-1978,516,7518.34411704645,2851555.60508537
2368,1980,SEA 46-1980,406,10334.9870933792,2071512.74158422
2369,2056,SEA 46-2056,371,5904.81575389547,1944444.45892943
2370,2057,SEA 46-2057,471,8046.20732877763,1902342.40461939
2371,2090,SEA 46-2090,490,22488.8654795955,21367060.467697
2372,2091,SEA 46-2091,469,4821.39202508026,1439000.46769015
2373,2092,SEA 46-2092,326,4209.23288156865,1033278.03632351
2374,2093,SEA 46-2093,478,4725.47987066042,1375520.05591443
2375,2094,SEA 46-2094,304,4131.60125226671,981099.627108346
2376,2095,SEA 46-2095,319,5601.28190538719,1168928.45933737
2377,2096,SEA 46-2096,248,3714.46294061565,790126.307335212
2378,2097,SEA 46-2097,417,4845.55353464677,1454094.5346703
2379,2098,SEA 46-2098,507,5589.48377013951,1988905.8530559
2380,2099,SEA 46-2099,464,6626.31603315041,1760671.30184274
2381,2100,SEA 46-2100,422,6612.06236343582,1751195.63026282
2382,2127,SEA 46-2127,564,6632.97737485131,2633160.34595711
2383,2128,SEA 46-2128,722,6626.87073279032,2639802.3753678
2384,2142,SEA 46-2142,756,12735.4828843262,4808436.86091156
2385,2143,SEA 46-2143,311,10324.3590150021,4643584.42868305
2386,2145,SEA 46-2145,554,8307.01537218543,4300443.19606757
2387,2152,SEA 46-2152,429,10074.7203884949,6380676.35536002
2388,2153,SEA 46-2153,536,6643.86328581285,2442410.58434004
2389,2221,SEA 46-2221,593,7274.10891076942,2861735.73091633
2390,2228,SEA 46-2228,576,8695.61869708742,3737623.45543001
2391,2231,SEA 46-2231,828,8541.79628213072,2390994.64260337
2392,2234,SEA 46-2234,289,5476.42152268488,1158714.11289417
2393,2236,SEA 46-2236,420,5778.69245232017,1378358.42470832
2394,2240,SEA 46-2240,478,6395.25856786908,1680451.59014169
2395,2243,SEA 46-2243,540,8440.20518936568,2350042.71834964
2396,2244,SEA 46-2244,278,5274.62521286992,1304163.35109457
2397,2245,SEA 46-2245,452,6604.60947264223,2186444.97087608
2398,2247,SEA 46-2247,647,7925.31882043049,3359311.03718086
2399,2249,SEA 46-2249,270,5787.77769383737,1598189.89532057
2400,2251,SEA 46-2251,605,6617.25361475864,2625410.90091579
2401,2252,SEA 46-2252,282,5316.35628449166,1766162.59733124
2402,2253,SEA 46-2253,551,6115.40315049806,2296611.12455617
2403,2257,SEA 46-2257,524,5307.85941029912,1759951.1015029
2404,2260,SEA 46-2260,789,8080.78806897094,3649321.33857137
2405,2261,SEA 46-2261,298,5605.39242804744,1945190.77099678
2406,2263,SEA 46-2263,648,7352.31779209602,2779253.03773412
2407,2264,SEA 46-2264,836,7929.44091180827,3490528.48605251
2408,2266,SEA 46-2266,536,10472.3051102428,6851845.75901413
2409,2267,SEA 46-2267,778,20476.7575460693,23541865.7896181
2410,2268,SEA 46-2268,369,10400.6500141276,3734222.12708739
2411,2269,SEA 46-2269,308,7418.19906665633,2291040.49859152
2412,2270,SEA 46-2270,307,6286.27008147906,1577517.75867598
2413,2271,SEA 46-2271,533,6779.0018540706,2147791.02158514
2414,2272,SEA 46-2272,389,6664.57098194411,1823395.26595988
2415,2274,SEA 46-2274,299,5719.50895960625,1789062.14254902
2416,2275,SEA 46-2275,299,4091.51525700929,638130.537642871
2417,2276,SEA 46-2276,406,5569.20423954902,1230897.5937238
2418,2277,SEA 46-2277,613,6634.49846235577,1935333.27159049
2419,2280,SEA 46-2280,690,9736.68740823818,3337347.1981629
2420,2282,SEA 46-2282,777,9327.33660663417,4221016.02307849
2421,2283,SEA 46-2283,377,4864.72541527355,1182863.19855393
2422,2285,SEA 46-2285,303,5995.50120297891,1718982.85597911
2423,2286,SEA 46-2286,469,5957.76889596243,2182403.90220149
2424,2289,SEA 46-2289,376,6024.2617553135,1778246.27572098
2425,2290,SEA 46-2290,316,6467.34164678473,1732105.86789388
2426,2291,SEA 46-2291,420,6022.61667078544,1577814.16509851
2427,2292,SEA 46-2292,535,5888.29545993773,1830659.19629555
2428,2293,SEA 46-2293,484,5352.1554849864,1790219.46229027
2429,2295,SEA 46-2295,526,6020.67274263654,2240740.66600211
2430,2296,SEA 46-2296,461,4677.73821060691,1336186.87594155
2431,2297,SEA 46-2297,284,5328.53138138322,1325860.32096816
2432,2298,SEA 46-2298,348,5320.64059887056,1323240.2365767
2433,2299,SEA 46-2299,424,8120.55913990045,2822816.65434016
2434,2300,SEA 46-2300,514,7720.3547480831,2834382.45907599
2435,2302,SEA 46-2302,417,6335.79061795701,1839702.41945166
2436,2303,SEA 46-2303,484,7721.16623948002,2427026.21251659
2437,2304,SEA 46-2304,372,7069.93759310184,2416304.1936252
2438,2305,SEA 46-2305,385,7350.06980294934,1989440.26122677
2439,2306,SEA 46-2306,313,5310.20059841052,1760781.21530818
2440,2307,SEA 46-2307,336,6945.84758654042,2004756.88646723
2441,2308,SEA 46-2308,431,10662.4492639463,4269266.78834051
2442,2309,SEA 46-2309,352,5101.29507007362,1687213.1574627
2443,2310,SEA 46-2310,442,7023.53011755784,2765698.47897932
2444,2311,SEA 46-2311,562,7322.93405758161,2207980.00190072
2445,2313,SEA 46-2313,614,10943.7640559789,5456925.65025279
2446,2314,SEA 46-2314,455,5981.64698728957,2203433.27461854
2447,2316,SEA 46-2316,480,9269.2853068393,2816414.48001462
2448,2317,SEA 46-2317,471,7878.68586053843,3024795.58674278
2449,2318,SEA 46-2318,292,6528.593523218,2094710.36561005
2450,2319,SEA 46-2319,512,8535.37127732429,3003965.05664846
2451,2320,SEA 46-2320,370,7670.79409169723,2549068.57719549
2452,2321,SEA 46-2321,350,6265.54585255021,1930584.76375286
2453,2322,SEA 46-2322,605,8820.63288215069,4002669.26943674
2454,2323,SEA 46-2323,661,8339.3576312783,3605609.12700852
2455,2324,SEA 46-2324,510,6678.13318368115,2670047.87561346
2456,2325,SEA 46-2325,453,3996.67911913643,890305.77100034
2457,2326,SEA 46-2326,551,10803.7430930181,4264119.56566863
2458,2327,SEA 46-2327,392,6686.45694678322,1780625.55003149
2459,2328,SEA 46-2328,403,5284.00182128098,1743828.77959537
2460,2330,SEA 46-2330,467,6997.30021205248,2821582.04958162
2461,2332,SEA 46-2332,287,5303.94113087878,1579604.93669698
2462,2333,SEA 46-2333,416,6830.81455599238,2386395.85767669
2463,2334,SEA 46-2334,661,8057.58002567794,3881080.32625207
2464,2335,SEA 46-2335,807,5371.80957313851,1687232.1819616
2465,2336,SEA 46-2336,796,8133.12666885723,3564891.18777477
2466,2337,SEA 46-2337,408,5299.00625888258,1754075.02291061
2467,2338,SEA 46-2338,606,6675.89312995924,1554070.83400715
2468,2339,SEA 46-2339,373,6557.908853428,2079155.46113137
2469,2340,SEA 46-2340,728,7966.21570008057,3543391.89843553
2470,2341,SEA 46-2341,671,8188.58533120575,3248820.7355006
2471,2342,SEA 46-2342,412,7970.97891192938,2647474.41604601
2472,2343,SEA 46-2343,370,6664.13472888913,2205366.8567244
2473,2344,SEA 46-2344,743,6800.43241815342,1663622.25773053
2474,2345,SEA 46-2345,320,9016.40195692052,3125327.76711473
2475,2346,SEA 46-2346,716,9232.57064811784,4015726.01695814
2476,2347,SEA 46-2347,663,9257.85573532155,3044957.79670931
2477,2348,SEA 46-2348,321,5845.92568100578,1694967.87053667
2478,2349,SEA 46-2349,396,6543.83497590389,2014960.73651193
2479,2350,SEA 46-2350,511,5908.68907769231,2239788.29337051
2480,2351,SEA 46-2351,355,6066.04329001341,2022252.27790826
2481,2352,SEA 46-2352,372,6956.88095049297,2076524.7289613
2482,2353,SEA 46-2353,684,6025.99444271827,1146241.39523005
2483,2355,SEA 46-2355,367,8301.89520521365,3652439.12642602
2484,2357,SEA 46-2357,506,6501.48962668698,2378859.79616202
2485,2358,SEA 46-2358,529,7232.91072713744,3235517.60299098
2486,2359,SEA 46-2359,393,10071.8981222669,4246672.16918092
2487,2360,SEA 46-2360,723,8000.08025991649,2875650.43585784
2488,2361,SEA 46-2361,381,10677.0747328692,4330054.4961094
2489,2363,SEA 46-2363,418,8234.54348581237,3253012.26768653
2490,2364,SEA 46-2364,362,9213.59159532272,3695261.75514532
2491,2366,SEA 46-2366,449,7657.12894329591,2740152.37996323
2492,2367,SEA 46-2367,528,12518.5171605216,8657454.07368656
2493,2369,SEA 46-2369,556,7858.21229820295,2515992.73789354
2494,2370,SEA 46-2370,567,4224.74542885375,973644.88586857
2495,2371,SEA 46-2371,788,8329.59116848484,3442498.09873928
2496,2373,SEA 46-2373,721,5313.26307145833,1321234.88232659
2497,2375,SEA 46-2375,340,6355.78680695964,1593236.67559044
2498,2377,SEA 46-2377,596,9202.45105766814,3177707.80414737
2499,2378,SEA 46-2378,312,9824.2126621237,2222175.51386966
2500,2379,SEA 46-2379,578,7106.92386644683,3077924.15921395
2501,2500,SEA 46-2500,411,7263.24835108972,2240739.83071841
2502,2619,SEA 46-2619,654,11408.7968972629,6525225.48459932
2503,2796,SEA 46-2796,513,6681.08194296202,2000721.83158418
2504,3677,SEA 46-3677,361,6375.21441417438,2351265.11651603
2505,3687,SEA 46-3687,238,5875.76122405568,1592559.57088792
2506,3688,SEA 46-3688,28,1949.66216197405,109474.594025898
2507,3728,SEA 46-3728,489,3972.38920669129,876715.360920781
2508,3798,SEA 46-3798,394,6382.72733234681,1443786.34804542
2509,3815,SEA 46-3815,389,5313.15586062534,1320827.99835832
2510,3410,SEALTH,449,53224.4185173956,93153358.1888104
2511,2742,SEAN,749,15677.5833970996,12685206.329525
2512,1061,SEAVIEW,444,7356.67983349885,3085086.62347282
2513,3820,SEIDEL CREEK,230,28150.5969204747,19343861.2554592
2514,1062,SELLECK,874,98008.7888383595,333526097.153933
2515,2831,SERENIDAD,886,12529.9729373443,5751438.97070149
2516,1031,SET 33-1031,615,15336.0685476984,7448142.35135357
2517,3057,SET 33-3057,874,55776.9015908555,125878836.515334
2518,3059,SET 33-3059,799,9530.67948040561,5377640.18618964
